material_id,cif_file,formula,theoretical,experimentally_observed,is_structure_representative,representative_material_id,structure_family_id,structure_family_size,n_duplicates_in_family,duplicate_material_ids
mp-2901880,TiF3_mp-2901880.cif,TiF3,True,No,True,mp-2901880,TiF3::sf-0004,1,0,
mp-562468,TiF3_mp-562468.cif,TiF3,False,Yes,False,mp-246,TiF3::sf-0003,2,1,mp-246
mp-634867,TiF3_mp-634867.cif,TiF3,True,No,True,mp-634867,TiF3::sf-0005,1,0,
mp-1383199,TiF4_mp-1383199.cif,TiF4,True,No,True,mp-1383199,TiF4::sf-0001,1,0,
mp-28974,TiF4_mp-28974.cif,TiF4,False,Yes,True,mp-28974,TiF4::sf-0002,1,0,
mp-1209717,TiF6_mp-1209717.cif,TiF6,True,No,True,mp-1209717,TiF6::sf-0001,1,0,
mp-1207060,TiI2_mp-1207060.cif,TiI2,True,No,True,mp-1207060,TiI2::sf-0001,1,0,
mp-23223,TiI3_mp-23223.cif,TiI3,False,Yes,False,mp-23264,TiI3::sf-0001,2,1,mp-23264
mp-23264,TiI3_mp-23264.cif,TiI3,False,Yes,True,mp-23264,TiI3::sf-0001,2,1,mp-23223
mp-541013,TiI4_mp-541013.cif,TiI4,False,Yes,True,mp-541013,TiI4::sf-0001,1,0,
mp-980194,TiI_mp-980194.cif,TiI,True,No,True,mp-980194,TiI::sf-0001,1,0,
mp-680345,Tl2Br3_mp-680345.cif,Tl2Br3,False,Yes,True,mp-680345,Tl2Br3::sf-0001,1,0,
mp-1120770,Tl2Cl3_mp-1120770.cif,Tl2Cl3,True,No,True,mp-1120770,Tl2Cl3::sf-0001,1,0,
mp-680294,Tl2Cl3_mp-680294.cif,Tl2Cl3,False,Yes,True,mp-680294,Tl2Cl3::sf-0002,1,0,
mp-1206414,Tl2F3_mp-1206414.cif,Tl2F3,True,No,True,mp-1206414,Tl2F3::sf-0001,1,0,
mp-979268,Tl3Br_mp-979268.cif,Tl3Br,True,No,True,mp-979268,Tl3Br::sf-0001,1,0,
mp-982064,Tl3Br_mp-982064.cif,Tl3Br,True,No,True,mp-982064,Tl3Br::sf-0002,1,0,
mp-1187500,Tl3Cl_mp-1187500.cif,Tl3Cl,True,No,True,mp-1187500,Tl3Cl::sf-0001,1,0,
mp-983458,Tl3Cl_mp-983458.cif,Tl3Cl,True,No,True,mp-983458,Tl3Cl::sf-0002,1,0,
mp-979262,Tl3F_mp-979262.cif,Tl3F,True,No,True,mp-979262,Tl3F::sf-0001,1,0,
mp-27398,TlBr2_mp-27398.cif,TlBr2,False,Yes,True,mp-27398,TlBr2::sf-0001,1,0,
mp-731800,TlBr3_mp-731800.cif,TlBr3,False,Yes,True,mp-731800,TlBr3::sf-0001,1,0,
mp-22875,TlBr_mp-22875.cif,TlBr,False,Yes,True,mp-22875,TlBr::sf-0001,1,0,
mp-568560,TlBr_mp-568560.cif,TlBr,False,Yes,True,mp-568560,TlBr::sf-0002,1,0,
mp-568949,TlBr_mp-568949.cif,TlBr,False,Yes,True,mp-568949,TlBr::sf-0003,1,0,
mp-1077305,TlCl2_mp-1077305.cif,TlCl2,False,Yes,True,mp-1077305,TlCl2::sf-0001,1,0,
mp-27205,TlCl2_mp-27205.cif,TlCl2,False,Yes,True,mp-27205,TlCl2::sf-0002,1,0,
mp-1206058,TlCl3_mp-1206058.cif,TlCl3,True,No,True,mp-1206058,TlCl3::sf-0001,1,0,
mp-726693,TlCl3_mp-726693.cif,TlCl3,False,Yes,True,mp-726693,TlCl3::sf-0002,1,0,
mp-23167,TlCl_mp-23167.cif,TlCl,False,Yes,True,mp-23167,TlCl::sf-0001,1,0,
mp-569639,TlCl_mp-569639.cif,TlCl,False,Yes,True,mp-569639,TlCl::sf-0002,1,0,
mp-571079,TlCl_mp-571079.cif,TlCl,False,Yes,True,mp-571079,TlCl::sf-0003,1,0,
mp-2632,TlF3_mp-2632.cif,TlF3,False,Yes,True,mp-2632,TlF3::sf-0001,1,0,
mp-2175,TlF_mp-2175.cif,TlF,True,No,True,mp-2175,TlF::sf-0001,1,0,
mp-557835,TlF_mp-557835.cif,TlF,False,Yes,True,mp-557835,TlF::sf-0002,1,0,
mp-558134,TlF_mp-558134.cif,TlF,True,No,True,mp-558134,TlF::sf-0003,1,0,
mp-720,TlF_mp-720.cif,TlF,False,Yes,True,mp-720,TlF::sf-0004,1,0,
mp-28329,TlI3_mp-28329.cif,TlI3,False,Yes,True,mp-28329,TlI3::sf-0001,1,0,
