perm,best_discovery_score,best_commonality_min,best_background_prev95,origin_formula
35,0.6988188310895327,0.8299697041511536,0.1580188679245283,In5Br7
36,0.34239214630621784,0.9188244938850403,0.6273584905660378,AuCl2
37,0.3616619228192095,0.946571946144104,0.6179245283018868,AuCl2
38,0.41942443937625523,0.8549805879592896,0.5094339622641509,AuCl2
39,0.6192890568724219,0.9054433107376099,0.3160377358490566,Sc5Cl8
40,0.8022779912318824,0.8812587261199951,0.08962264150943396,Bi6Cl7
41,0.5691853576111343,0.6685168743133545,0.14858490566037735,InBr
42,0.37445596956981797,0.9124674201011658,0.589622641509434,InBr2
43,0.6795847713947296,0.7872785329818726,0.13679245283018868,TbBr
44,0.6279629291790836,0.7416609525680542,0.15330188679245282,ScCl
45,0.35711630222932345,0.8854813575744629,0.5966981132075472,TmCl2
46,0.4414938319966478,0.9502202272415161,0.535377358490566,Ta2Br5
47,0.4226217492009109,0.9582439661026001,0.5589622641509434,TaCl4
48,0.4723728626685323,0.9403102993965149,0.49764150943396224,TiF4
49,0.528094472609601,0.9528172612190247,0.44575471698113206,SnCl4
50,0.2822651818113507,0.9423656463623047,0.7004716981132075,Sn3F8
51,0.2530336309716386,0.7399052381515503,0.6580188679245284,CrF4
52,0.426700345609548,0.9183804392814636,0.535377358490566,HgCl2
53,0.7174730500522649,0.8497446179389954,0.15566037735849056,BeF2
54,0.5440627052536551,0.8543799519538879,0.3632075471698113,W2Br5
55,0.4807387185546587,0.9436722993850708,0.49056603773584906,W2Br5
56,0.6285622659719216,0.7301654815673828,0.1391509433962264,LiCl
57,0.40731109046148806,0.9541431069374084,0.5731132075471698,NbCl4
58,0.45589419791720953,0.8826444745063782,0.4834905660377358,HgBr2
59,0.6414105914673716,0.7639272212982178,0.16037735849056603,HgBr
60,0.4413782185259855,0.7225651144981384,0.3891509433962264,ZrI4
61,0.3766262077216832,0.8726202845573425,0.5683962264150944,CdF2
62,0.3275914866969271,0.964574933052063,0.660377358490566,NiI2
63,0.38481536676298894,0.9166388511657715,0.5801886792452831,FeF2
64,0.5890459191967856,0.6995951533317566,0.1580188679245283,LiF
65,0.6628536432981491,0.8922220468521118,0.25707547169811323,Tb5Br8
66,0.6899794879949318,0.8382558822631836,0.17688679245283018,InBr2
67,0.6700581756402861,0.816392719745636,0.1792452830188679,KF5
68,0.41852726970078813,0.9439125657081604,0.5566037735849056,WI4
69,0.6658776689250514,0.7692973613739014,0.13443396226415094,GdBr
70,0.47218635818868315,0.8592575788497925,0.45047169811320753,SnF2
71,0.676617239303184,0.799124538898468,0.15330188679245282,LaCl
72,0.3921970033420707,0.8845294117927551,0.5566037735849056,AuCl2
73,0.661118415588478,0.7851938605308533,0.1580188679245283,RbCl
74,0.6353278907964814,0.8979300856590271,0.29245283018867924,Gd2Cl3
75,0.6826299861916956,0.79515141248703,0.14150943396226415,BiBr
76,0.7286179464943005,0.7962216734886169,0.08490566037735849,Bi6Br7
77,0.3487252969786806,0.8596484065055847,0.5943396226415094,ZrI2
78,0.6371205426611991,0.7421404123306274,0.14150943396226415,RbF
79,0.7832831159796355,0.8282095789909363,0.054245283018867926,Ga3Cl7
80,0.7457078183596989,0.7884790897369385,0.054245283018867926,Ga3Cl7
81,0.6249606047036513,0.7066221237182617,0.11556603773584906,CuI
82,0.6633507820232859,0.9313269257545471,0.28773584905660377,Gd2Cl3
83,0.5870183869352881,0.9499839544296265,0.38207547169811323,ReI3
84,0.5869359025415385,0.7406572103500366,0.20754716981132076,GaBr3
85,0.6994149672254076,0.7322270274162292,0.04481132075471698,CoBr
86,0.35071000175656014,0.8645409345626831,0.5943396226415094,CaCl2
87,0.6378485903425036,0.7907830476760864,0.19339622641509435,Er4I5
88,0.39022574461293674,0.8754270672798157,0.5542452830188679,AuCl2
89,0.38118360065064344,0.9342303276062012,0.5919811320754716,TcCl4
90,0.6393610002859584,0.8688752055168152,0.2641509433962264,BeI2
91,0.5506640809043398,0.8945654034614563,0.38443396226415094,Sc7Cl10
92,0.2953331835989682,0.9558875560760498,0.6910377358490566,YbBr2
93,0.36030052363310217,0.853449285030365,0.5778301886792453,CuF2
94,0.3978840132366936,0.8832608461380005,0.5495283018867925,LaI2
95,0.6146244971819643,0.7043264508247375,0.12735849056603774,AuI
96,0.5680244649356266,0.674628496170044,0.1580188679245283,KCl
