k,cluster,positive_coverage,positive_prevalence,background_prevalence,enrichment,fisher_p,medoid_structure_idx,medoid_site_idx,fdr_q,medoid_formula,center_type,geo_nX_available,geo_radial_cv,geo_planarity_ratio,geo_best_m,geo_best_psi,geo_psi6,geo_psi2,geo_psi3,geo_psi4,geo_psi5,geo_psi7,geo_psi8,geo_psi9,geo_psi10
64,16,0,0.0,0.04922644163150492,2.031387305246456e-05,1.0,470,0,1.0,MMe2,M,6,0.2208996376799483,0.15412077958848452,10,0.9437703478027447,0.4727416569167071,0.225010058521993,7.76222798747979e-17,0.5724005896421741,2.2054575649188958e-16,4.518280359883027e-16,0.2628332561022293,5.517281280859303e-16,0.9437703478027447
64,17,1,0.14285714285714285,0.040787623066104076,3.5024017022006313,0.25921762093154727,627,4,1.0,MMe3,X,6,0.02732516264353606,0.17314475437153842,7,0.5473709828058277,0.36327617405304913,0.211988909006663,0.34699759798906377,0.372261115886485,0.219462180928944,0.5473709828058277,0.30045110708758516,0.349375119339756,0.35594370174564255
64,18,0,0.0,0.015471167369901548,6.46321860468837e-05,1.0,296,8,1.0,MMe4,X,6,0.01346528835211877,0.1666019541496015,6,0.8479381074829204,0.8479381074829204,0.1382711753462438,0.2011825192763471,0.22055832553350005,0.7014558372190844,0.11616259958491444,0.5783224748959226,0.5035117311529718,0.33690059292132857
64,19,0,0.0,0.012658227848101266,7.899375949300006e-05,1.0,30,3,1.0,MMe,M,6,0.21996634367263138,0.08965385330772775,6,0.9343363590222162,0.9343363590222162,0.0821117246605331,2.479515349199545e-16,0.1844504553011913,7.629277997537061e-16,6.280369834735101e-16,0.2668349992201318,4.3157713660926247e-16,0.48034121081531433
64,20,0,0.0,0.011251758087201125,8.886710193631541e-05,1.0,562,37,1.0,M2Me5,M,6,0.2018789163191724,0.18674925078568028,8,0.8802589357803499,0.4947837473378169,0.2749364368053471,0.07367281153374801,0.3071147780339564,0.1718407388314283,0.13170810141283615,0.8802589357803499,0.31866265609951233,0.1228218395671934
64,21,0,0.0,0.008438818565400843,0.00011848595941380948,1.0,54,2,1.0,M6Me7,M,6,0.05783465630728119,0.29671404103200355,5,0.5992401966676572,0.5407015613345549,0.1095531345739775,0.27061341237555153,0.20738055368951633,0.5992401966676572,0.3245437197219562,0.23851400297032005,0.17666329391610552,0.07164947535784943
64,22,1,0.14285714285714285,0.040787623066104076,3.5024017022006313,0.25921762093154727,479,0,1.0,M2Me5,M,6,0.004171293662411315,0.22552261055836667,8,0.7748213942396501,0.2501238148836903,0.30205913329376033,0.16373939158463713,0.3922817694576633,0.2551414018960235,0.2528915193304309,0.7748213942396501,0.2853006059702474,0.06426922230859795
64,23,0,0.0,0.030942334739803096,3.2317137387059895e-05,1.0,24,8,1.0,MMe3,M,6,0.0027761932318377926,0.33182856642092595,4,1.0,0.3333333333333333,0.3333333333333333,1.6966125969332002e-16,1.0,3.070749160805222e-16,2.836157669092489e-16,1.0,4.542270491117409e-16,0.3333333333333333
64,24,0,0.0,0.004219409282700422,0.0002369438443088988,1.0,52,2,1.0,M4Me,M,6,0.23198530437701823,0.2857958573540357,6,0.7033205486981973,0.7033205486981973,0.06912448478351109,0.04267452217054493,0.015982803313603803,0.45641413711591927,0.3951656884846227,0.30396697825997926,0.2687259413910855,0.34522826013897123
64,25,0,0.0,0.01828410689170183,5.4689316607376314e-05,1.0,301,8,1.0,MMe2,X,6,0.040587938481804156,0.18431639061150562,8,0.8085267431984985,0.6984904007103725,0.20510768442293806,0.009114338293578845,0.28353517784644267,0.030527018548843578,0.004816511527379996,0.8085267431984985,0.05728287176582625,0.21327363891040188
