material_id,formula,n_X,h,k,l,frac_exact6,mean_inplane_count,median_inplane_count,mean_psi6_exact6,mean_psi4_exact6,psi6_minus_psi4,psi6_over_psi4,strict_exact6_all,fallback_sixfold
mp-23177,HgBr,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-1102919,HgCl2,8,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False
mp-22855,HgCl2,8,0,1,0,1.0,6.0,6.0,0.7238548517913739,0.22036904799590973,0.5034858037954641,3.2847392062283145,True,True
mp-22897,HgCl,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-8177,HgF2,2,1,0,0,1.0,6.0,6.0,0.999999999999908,2.0229664034984384e-07,0.9999997977032676,4943235.825718842,True,True
mp-706,HgF,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-23173,HgI2,4,0,0,1,1.0,6.0,6.0,0.9512657508671132,0.13556109369193195,0.8157046571751813,7.0172475373273615,True,True
mp-23192,HgI2,4,0,1,-2,1.0,6.0,6.0,0.9907331562379287,0.0121637479411683,0.9785694082967604,81.44966181720886,True,True
mp-567471,HgI2,16,3,0,2,1.0,6.0,6.0,0.9919119612564887,0.0220656014850486,0.9698463597714402,44.95286303111189,True,True
mp-568742,HgI2,16,1,0,1,1.0,6.0,6.0,0.9911445324606698,0.010729124303576108,0.9804154081570937,92.37888427952251,True,True
mp-583213,HgI2,32,1,1,0,1.0,6.0,6.0,0.9928318399075997,0.01619801574171577,0.976633824165884,61.29342357352434,True,True
mp-22859,HgI,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-561877,HoF3,12,0,0,1,1.0,6.0,6.0,0.5316256240847902,0.056687015917193245,0.4749386081675969,9.378260885374061,True,False
mp-667324,In2Cl3,96,1,1,1,0.0,0.7916666666666666,1.0,0.0,0.0,0.0,0.0,False,False
mp-568692,In4Br7,14,1,1,1,0.0,3.4285714285714284,4.0,0.0,0.0,0.0,0.0,False,False
mp-680760,In4Br7,28,1,1,1,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,False,False
mp-568546,In5Br7,56,1,1,1,0.0,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,False,False
mp-680178,In5Br7,112,1,1,1,0.0,0.6428571428571429,1.0,0.0,0.0,0.0,0.0,False,False
