material_id,cif_file,formula_norm,n_atoms,d0_A,motif_score,motif_percentile_vs_formula_clean_background,reserved_formula
mp-567687,CrI2_mp-567687.cif,CrI2,6,2.7332675728806026,0.9504624009132385,88.32630098452883,False
mp-1197907,W2Br5_mp-1197907.cif,W2Br5,56,2.5854634802879515,0.9502890110015869,88.18565400843882,False
mp-1101909,VCl5_mp-1101909.cif,VCl5,12,2.1771868003004844,0.9493171572685242,87.9043600562588,False
mp-8289,SnF3_mp-8289.cif,SnF3,8,1.9847904439450423,0.9492841958999634,87.76371308016878,False
mp-31134,PtCl3_mp-31134.cif,PtCl3,48,2.319106192053702,0.949165403842926,87.62306610407876,False
mp-567537,TaI4_mp-567537.cif,TaI4,20,2.735943667889412,0.9491105675697327,87.48241912798875,False
mp-648774,Zr2Cl5_mp-648774.cif,Zr2Cl5,168,2.54446440797222,0.9485293030738831,87.20112517580873,False
mp-1544557,KF3_mp-1544557.cif,KF3,32,1.9404078768857043,0.9484558701515198,87.0604781997187,False
mp-1323,AlF3_mp-1323.cif,AlF3,64,1.812901697296624,0.9483926296234131,86.91983122362869,False
mp-1095094,SnI3_mp-1095094.cif,SnI3,8,3.016422648241041,0.9483267068862915,86.77918424753868,False
mp-28301,OsBr4_mp-28301.cif,OsBr4,40,2.4095233930272473,0.9483022689819336,86.63853727144867,False
mp-23165,PtBr3_mp-23165.cif,PtBr3,48,2.4567307872729964,0.9473065137863159,86.49789029535864,False
mp-28268,PtI3_mp-28268.cif,PtI3,16,2.6307627213357163,0.947303295135498,86.35724331926863,False
mp-28329,TlI3_mp-28329.cif,TlI3,16,2.946819162063656,0.9472593069076538,86.21659634317862,False
mp-568483,NbCl5_mp-568483.cif,NbCl5,24,2.301492946903129,0.9472129344940186,86.07594936708861,False
mp-23274,Ta2Cl5_mp-23274.cif,Ta2Cl5,168,2.445580252696434,0.9464685320854187,85.65400843881856,False
mp-29554,WBr5_mp-29554.cif,WBr5,36,2.4438266975103797,0.9463666677474976,85.51336146272855,False
mp-27765,W3Br8_mp-27765.cif,W3Br8,44,2.5913722928964384,0.9462193846702576,85.37271448663853,False
mp-27641,CsBr3_mp-27641.cif,CsBr3,16,2.5778305221930715,0.9461073875427246,85.23206751054853,False
mp-14112,PdF3_mp-14112.cif,PdF3,12,1.9487562049746945,0.9459213614463806,85.0914205344585,False
mp-558380,Cr2F5_mp-558380.cif,Cr2F5,14,1.9209373147746298,0.9455665946006775,84.9507735583685,False
mp-570355,PbCl4_mp-570355.cif,PbCl4,10,2.3992555394716684,0.9452614188194275,84.81012658227847,False
mp-22857,CrCl2_mp-22857.cif,CrCl2,6,2.382741903890504,0.9448570013046265,84.66947960618847,False
mp-1443,Sn3F8_mp-1443.cif,Sn3F8,22,2.0012715106753833,0.9442562460899353,84.52883263009845,False
mp-27160,WCl5_mp-27160.cif,WCl5,36,2.2658464799810507,0.9440174102783203,84.38818565400844,False
mp-1760,UF5_mp-1760.cif,UF5,24,2.021334495785285,0.9436900615692139,84.24753867791843,False
mp-29831,TaCl5_mp-29831.cif,TaCl5,36,2.28807559398059,0.9436516761779785,84.10689170182842,True
mp-569855,MoCl5_mp-569855.cif,MoCl5,48,2.260186703821083,0.9429882764816284,83.82559774964838,False
mp-680077,Ta2Br5_mp-680077.cif,Ta2Br5,168,2.5932789187246224,0.9427036643028259,83.40365682137833,False
mp-571011,CsI4_mp-571011.cif,CsI4,20,2.8767965558246082,0.9424776434898376,83.12236286919831,False
mp-726693,TlCl3_mp-726693.cif,TlCl3,16,2.389031585276796,0.9424436688423157,82.9817158931083,False
mp-23204,FeCl3_mp-23204.cif,FeCl3,8,2.267155033446047,0.9420815110206604,82.70042194092827,True
mp-567624,CrBr2_mp-567624.cif,CrBr2,3,2.5450842056077563,0.9420354962348938,82.70042194092827,False
mp-680760,In4Br7_mp-680760.cif,In4Br7,44,2.6869480726763713,0.9416055083274841,82.55977496483825,False
mp-22853,MoCl3_mp-22853.cif,MoCl3,8,2.431597323505879,0.9410301446914673,82.27848101265823,False
mp-571035,OsCl4_mp-571035.cif,OsCl4,5,2.2654059130492743,0.9408911466598511,81.99718706047821,False
mp-23264,TiI3_mp-23264.cif,TiI3,16,2.7437887871335027,0.9404608607292175,81.85654008438819,False
mp-558836,MoF6_mp-558836.cif,MoF6,7,1.832807049411936,0.9404109120368958,81.71589310829818,False
mp-571377,TiCl3_mp-571377.cif,TiCl3,24,2.409500472915264,0.9402021765708923,81.43459915611815,False
mp-27771,Nb3Br8_mp-27771.cif,Nb3Br8,22,2.5858747823457975,0.9401676654815674,81.29395218002813,False
mp-1416,NbF4_mp-1416.cif,NbF4,5,1.906251725730682,0.939849853515625,81.15330520393812,False
mp-504759,MoF5_mp-504759.cif,MoF5,24,1.829302799155636,0.9396057724952698,81.0126582278481,False
mp-27772,Nb3I8_mp-27772.cif,Nb3I8,22,2.7650682321932907,0.9393802881240845,80.8720112517581,False
mp-23269,WCl3_mp-23269.cif,WCl3,24,2.389276714827583,0.9389119148254395,80.59071729957806,False
mp-29465,TaCl4_mp-29465.cif,TaCl4,10,2.3052113020812417,0.9387925267219543,80.45007032348805,False
mp-540671,Ti7Cl16_mp-540671.cif,Ti7Cl16,46,2.3651603875839253,0.9387156367301941,80.30942334739804,False
