config,k,heldout_formula,heldout_material_id,heldout_score,heldout_formula_background_percentile,prototype_source_formulas,prototype_source_sites,train_min_coverage,train_mean_coverage,background_median_score,background_p95_score
baseline,1,GaF3,mp-588,0.9781659841537476,68.90951276102089,ZrCl4,0,0.9719798564910889,0.9879815578460693,0.9632912874221802,0.9965062737464905
baseline,2,GaF3,mp-588,0.9991203546524048,92.80742459396751,ZrCl4;InBr3,0;3,0.9853523969650269,0.9957144856452942,0.9865424633026123,0.999253123998642
baseline,3,GaF3,mp-588,0.9991203546524048,92.80742459396751,ZrCl4;InBr3;GaCl3,0;3;0,0.994937002658844,0.9981557726860046,0.9868815541267395,0.999253123998642
baseline,4,GaF3,mp-588,0.9991203546524048,92.80742459396751,ZrCl4;InBr3;GaCl3;FeCl3,0;3;0;0,0.9969278573989868,0.9989995956420898,0.9868815541267395,0.999253123998642
baseline,1,InBr3,mp-570219,0.9827646017074585,77.03016241299304,ZrCl4,0,0.9719798564910889,0.9872151017189026,0.9632912874221802,0.9965062737464905
baseline,2,InBr3,mp-570219,0.9991203546524048,93.50348027842227,ZrCl4;GaF3,0;2,0.9853523969650269,0.9956108927726746,0.9873843193054199,0.9992218315601349
baseline,3,InBr3,mp-570219,0.9991203546524048,93.50348027842227,ZrCl4;GaF3;GaCl3,0;2;0,0.9947577118873596,0.9980521202087402,0.9882352948188782,0.9992218315601349
baseline,4,InBr3,mp-570219,0.9991203546524048,93.50348027842227,ZrCl4;GaF3;GaCl3;FeCl3,0;2;0;0,0.9964853525161743,0.9989258646965027,0.9882352948188782,0.9992218315601349
baseline,1,TaCl5,mp-29831,0.9855819344520569,64.03712296983758,FeCl3,3,0.9520702958106995,0.9871428608894348,0.9812914729118347,0.996478259563446
baseline,2,TaCl5,mp-29831,0.9855819344520569,63.10904872389791,FeCl3;GaCl3,3;0,0.9888799786567688,0.9951311945915222,0.9815752506256104,0.9964781105518341
baseline,3,TaCl5,mp-29831,0.9855819344520569,51.27610208816705,FeCl3;GaCl3;InBr3,3;0;3,0.9888799786567688,0.9974880814552307,0.9852235317230225,0.9992200136184692
baseline,4,TaCl5,mp-29831,0.9948582053184509,80.97447795823666,FeCl3;GaCl3;InBr3;ZrCl4,3;0;3;2,0.9969278573989868,0.9993414878845215,0.9867898225784302,0.999253123998642
baseline,1,ZrCl4,mp-569175,0.9888800382614136,74.94199535962876,FeCl3,3,0.9520702958106995,0.9865931868553162,0.9812914729118347,0.996478259563446
baseline,2,ZrCl4,mp-569175,0.9888799786567688,74.70997679814386,FeCl3;GaCl3,3;0,0.9855819940567017,0.9945814609527588,0.9815752506256104,0.9964781105518341
baseline,3,ZrCl4,mp-569175,0.9970696568489075,93.03944315545245,FeCl3;GaCl3;TaCl5,3;0;0,0.991778552532196,0.9969844818115234,0.9824408292770386,0.997358500957489
baseline,4,ZrCl4,mp-569175,0.9970696568489075,84.91879350348029,FeCl3;GaCl3;TaCl5;InBr3,3;0;0;3,0.9969278573989868,0.9993414282798767,0.9877034425735474,0.9993042945861816
baseline,1,GaCl3,mp-30952,0.9284728765487671,17.16937354988399,InBr3,3,0.9825998544692993,0.9928829073905945,0.9816214442253113,0.9992062151432037
baseline,2,GaCl3,mp-30952,0.9853522777557373,49.187935034802784,InBr3;ZrCl4,3;0,0.994937002658844,0.998009204864502,0.9865424633026123,0.999253123998642
baseline,3,GaCl3,mp-30952,0.9853522777557373,49.187935034802784,InBr3;ZrCl4;FeCl3,3;0;0,0.9969278573989868,0.9988530278205872,0.9865424633026123,0.999253123998642
baseline,4,GaCl3,mp-30952,0.9853522777557373,49.187935034802784,InBr3;ZrCl4;FeCl3;AlCl3,3;0;0;0,0.9970696568489075,0.9993650317192078,0.9865424633026123,0.999253123998642
