formula,local_median_pct,local_min_pct,local_max_pct,local_mean_pct,local_top20_count,local_top10_count,n_configs,reserved_formula
Ta2Br5,76.91415313225058,48.027842227378194,79.35034802784223,69.56689868522814,0,0,6,False
MoCl3,75.1740139211137,68.67749419953596,78.88631090487239,74.40061871616396,0,0,6,False
TiCl3,74.70997679814386,72.8538283062645,78.42227378190255,74.90332559938129,0,0,6,False
TiI3,74.36194895591647,56.380510440835266,75.63805104408353,71.6937354988399,0,0,6,False
RuCl3,74.12993039443155,71.92575406032483,77.7262180974478,74.32327919566899,0,0,6,False
Cr2F5,74.12993039443155,52.66821345707656,78.88631090487239,71.9644238205723,0,0,6,False
BiBr3,73.66589327146173,66.5893271461717,79.35034802784223,73.47254447022429,0,0,6,False
AlCl3,72.73781902552204,67.74941995359629,77.49419953596288,72.42846094354215,0,0,6,True
CrCl2,71.46171693735499,39.443155452436194,78.65429234338747,65.27455529775715,0,0,6,False
TiBr3,70.99767981438515,70.53364269141531,75.63805104408353,71.84841453982985,0,0,6,False
RhF3,70.64965197215777,58.70069605568445,73.31786542923435,69.21887084300077,0,0,6,False
WCl3,70.64965197215777,54.988399071925755,74.0139211136891,67.24671307037896,0,0,6,False
BaF3,69.02552204176334,51.972157772621806,79.35034802784223,66.89868522815159,0,0,6,False
ScF3,68.5614849187935,60.78886310904872,70.76566125290023,67.67208043310131,0,0,6,False
YCl3,67.98143851508121,61.02088167053365,73.31786542923435,67.51740139211137,0,0,6,False
TiF3,67.74941995359629,58.23665893271461,70.06960556844548,66.5506573859242,0,0,6,False
MoF3,67.74941995359629,58.0046403712297,70.53364269141531,66.62799690641918,0,0,6,False
CrBr2,67.74941995359629,30.62645011600928,76.5661252900232,62.103634957463264,0,0,6,False
IrCl3,67.4013921113689,64.50116009280742,75.1740139211137,68.09744779582367,0,0,6,False
NbF3,67.28538283062645,57.772621809744784,69.37354988399072,66.04795050270688,0,0,6,False
TaF3,67.28538283062645,57.772621809744784,69.37354988399072,66.04795050270688,0,0,6,False
RhCl3,66.8213457076566,64.73317865429235,76.10208816705337,67.94276875483372,0,0,6,False
IrBr3,66.35730858468678,63.10904872389791,74.94199535962876,67.16937354988399,0,0,6,False
Nb3Br8,65.54524361948955,54.524361948955914,75.4060324825986,66.66666666666667,0,0,6,False
RhBr3,65.42923433874711,62.64501160092807,75.4060324825986,66.66666666666667,0,0,6,False
NiF3,65.08120649651973,63.341067285382834,76.5661252900232,66.78267594740912,0,0,6,False
RuBr3,64.84918793503479,56.8445475638051,67.51740139211137,63.9984532095901,0,0,6,False
Nb3I8,64.03712296983758,54.060324825986086,74.47795823665894,65.6999226604795,0,0,6,False
Ta3I7,63.92111368909514,44.779582366589324,69.37354988399072,60.78886310904873,0,0,6,False
BiCl3,63.92111368909513,53.82830626450116,70.30162412993039,63.57308584686775,0,0,6,False
VF3,63.80510440835267,60.32482598607889,72.8538283062645,64.8491879350348,0,0,6,False
CrBr3,63.341067285382834,61.25290023201856,74.47795823665894,64.77184841453983,0,0,6,False
Nb3Cl8,62.99303944315545,54.292343387471,72.15777262180974,64.34648105181748,0,0,6,False
Ta3Br7,62.99303944315545,45.011600928074245,68.21345707656613,60.208816705336424,0,0,6,False
Ti7Cl16,62.87703016241299,48.49187935034803,73.54988399071925,63.34106728538283,0,0,6,False
VCl3,62.41299303944315,59.86078886310905,74.24593967517401,63.88244392884764,0,0,6,False
NbI3,61.83294663573086,57.772621809744784,64.73317865429235,61.87161639597835,0,0,6,False
MoCl2,61.7169373549884,19.953596287703014,73.08584686774941,58.31399845320959,0,0,6,False
FeBr3,61.1368909512761,59.39675174013921,74.0139211136891,62.91569992266048,0,0,6,False
CoF3,61.1368909512761,57.772621809744784,73.54988399071925,62.99303944315545,0,0,6,False
GdBr3,61.02088167053364,54.524361948955914,71.6937354988399,61.48491879350348,0,0,6,False
Ti7Br16,60.556844547563806,48.25986078886311,71.6937354988399,61.63959783449343,0,0,6,False
ScCl3,60.20881670533643,58.70069605568445,73.08584686774941,62.21964423820572,0,0,6,False
FeF3,59.97679814385151,57.30858468677494,71.92575406032483,62.2969837587007,0,0,6,False
SnF2,59.62877030162413,41.9953596287703,73.78190255220419,59.280742459396755,0,0,6,False
InBr3,59.51276102088167,55.22041763341067,72.15777262180974,60.711523588553746,0,0,6,True
SrF3,59.51276102088167,47.09976798143852,71.92575406032483,60.556844547563806,0,0,6,False
CeF3,59.164733178654295,27.842227378190255,72.8538283062645,56.38051044083527,0,0,6,False
NdF3,59.164733178654295,27.37819025522042,73.08584686774941,56.071152358855365,0,0,6,False
MoBr2,58.23665893271462,19.489559164733176,70.76566125290023,55.1430781129157,0,0,6,False
MoI2,57.540603248259856,19.02552204176334,70.06960556844548,53.63495746326373,0,0,6,False
KF5,56.96055684454756,51.04408352668214,71.22969837587007,59.74477958236659,0,0,6,False
CrF2,56.96055684454756,41.76334106728538,70.99767981438515,57.540603248259856,0,0,6,False
WBr2,56.96055684454756,19.25754060324826,69.83758700696056,53.78963650425368,0,0,6,False
In4Br7,56.84454756380511,18.793503480278424,76.33410672853829,53.480278422273784,0,0,6,False
HfI3,56.72853828306265,55.91647331786543,60.78886310904872,57.61794276875483,0,0,6,False
