config,group,formula,material_id,matched_site,matched_center,soap_similarity,nX_available,six_X_distances_scaled,radial_cv,planarity_ratio,best_m,best_psi,psi6,psi2,psi3,psi4,psi5,psi7,psi8,psi9,psi10
short,blind,SnCl2,mp-29179,16,X,0.8987212181091309,6,"[1.3417326668947447, 1.3440049948579087, 1.3483905355824837, 1.348390535582484, 1.4016670454087443, 1.4056390463214632]",0.020130086812446667,0.2392969135665146,10,0.6853326874822014,0.5700067570983205,0.16225989008771619,0.18278465785791714,0.35143347198559227,0.2674933018261912,0.29510770055349744,0.4496570947551128,0.339461940700038,0.6853326874822014
baseline,known,AlCl3,mp-25470,2,X,0.9135806560516357,6,"[1.266964637557499, 1.2669646912092083, 1.2669646912092083, 1.333170007536183, 1.3331700585235424, 1.3331700585235426]",0.025462283867169012,0.21903229722071818,10,0.9628331899163683,0.13559947461122174,0.5064479015175506,0.04049320978573738,0.2410405124772449,0.009309583818920367,0.10094415178314234,0.6589577259094754,0.0506128626681991,0.9628331899163683
baseline,known,FeCl3,mp-23204,2,X,0.9420815110206604,6,"[1.3113286049383277, 1.4279545537820248, 1.4279546039768805, 1.4284195069861843, 1.4284195571841742, 1.4957430359221935]",0.03837387982776586,0.18558360346127767,5,0.6591517485421634,0.610305341747848,0.23920930730931353,0.19906008978396633,0.38421701863977237,0.6591517485421634,0.2910901523753872,0.4163646299466713,0.289634021981063,0.20316346363504342
baseline,known,GaF3,mp-588,2,X,0.9245362877845764,6,"[1.4120833031859283, 1.4120835702000134, 1.412083654239902, 1.4120836658473486, 1.4163405076922762, 1.4163405235704223]",0.0014197028749827548,0.2224143189050394,6,0.4402918315479518,0.4402918315479518,0.07628229413099509,0.2653584122287285,0.23955919047813096,0.35816956521285725,0.15593387350111754,0.263799834565166,0.13401138549697456,0.007250470737856922
baseline,known,InBr3,mp-570219,2,X,0.9278712272644043,6,"[1.3743965773352869, 1.417440904796191, 1.4174409693290924, 1.4201545368816835, 1.4201545459867284, 1.4521555544329363]",0.01596705647145062,0.18917937395481393,6,0.7505095390493883,0.7505095390493883,0.2139870120319361,0.16513188181944674,0.4390614664219662,0.5226118111408069,0.0921303602982593,0.49435868341270617,0.25735712889640694,0.2939603149651223
baseline,known,TaCl5,mp-29831,10,X,0.9436516761779785,6,"[1.457379806168405, 1.458036679439332, 1.49384315995361, 1.5297723084462833, 1.6330489927041243, 1.644012421241659]",0.04983756474321307,0.1583591588962993,5,0.8140398180754684,0.5589256842897625,0.07944392874917659,0.10158403314869355,0.2192511757756334,0.8140398180754684,0.3033567031962065,0.10310687408509282,0.1290744433185003,0.4219355367687178
baseline,known,ZrCl4,mp-569175,2,X,0.9607681035995483,6,"[1.5176288422171065, 1.5182404105335374, 1.5400155864699498, 1.5783501809479108, 1.6313100593032355, 1.6313100593032355]",0.030674893427533333,0.18633723093774993,6,0.8034117503918913,0.8034117503918913,0.17440191817960396,0.2974163793668625,0.5135952433678386,0.5601183698710929,0.04845779510674512,0.21997174375067752,0.08337334545404088,0.6360329424872422
baseline,known,GaCl3,mp-30952,6,X,1.0,6,"[1.7194746256370799, 1.719630854056643, 1.751670601342099, 1.7698046926209585, 1.7709655844769991, 1.8130834692913755]",0.018490943128540098,0.14435697920819313,8,0.7656263520876815,0.3999453611127494,0.5094678576868245,0.32788384776123136,0.07529163299453843,0.7216719074022176,0.7125796502188714,0.7656263520876815,0.07839973241726574,0.31296960332211493
baseline,blind,InI3,mp-567789,6,X,0.9704287648200989,6,"[1.5871384991434663, 1.593534012055091, 1.6230544268245453, 1.6384761941303256, 1.6569518380502475, 1.6759118937248438]",0.019598941558768124,0.1993116443090341,6,0.6396340127813381,0.6396340127813381,0.19289627035076318,0.21655803366332063,0.4969684942821674,0.4824080275464409,0.20398093732886796,0.5599264278454852,0.17989699410347482,0.2976755155899961
baseline,blind,AlBr3,mp-23288,8,X,0.9974923729896545,6,"[1.702119864583088, 1.7071365176404814, 1.7390524928137416, 1.7911965377618146, 1.8104455294350268, 1.8221411329355162]",0.02735419795498678,0.2258445050437832,5,0.6455607725383724,0.1313183394133993,0.07115978448075592,0.14875712454590279,0.21541466940254017,0.6455607725383724,0.30994708912061475,0.20964827348855253,0.21198333775789127,0.3053542021073328
