config,selected_k,formula,best_polymorph_score,formula_background_percentile,reserved_formula
short,4,NiBr2,0.9860628247261047,53.82830626450116,False
short,4,NiCl2,0.9865261912345886,56.8445475638051,False
short,4,NiF2,0.9823204874992371,47.33178654292343,False
short,4,NiF3,0.9979468584060669,89.0951276102088,False
short,4,NiI2,0.9861928224563599,54.988399071925755,False
short,4,NpBr3,0.98846036195755,60.556844547563806,False
short,4,NpCl3,0.9796469211578369,38.05104408352668,False
short,4,NpF3,0.976176381111145,32.48259860788863,False
short,4,NpF4,0.9881829619407654,59.164733178654295,False
short,4,NpI3,0.988649308681488,61.25290023201856,False
short,4,OsBr4,0.9960639476776123,81.90255220417633,False
short,4,OsCl4,0.9935047030448914,74.0139211136891,False
short,4,OsF5,0.996355414390564,83.06264501160094,False
short,4,OsF6,0.9945626258850098,77.49419953596288,False
short,4,PaBr4,0.9906711578369141,67.74941995359629,False
short,4,PaBr5,0.9940541386604309,76.10208816705337,False
short,4,PaCl4,0.9903905391693115,66.8213457076566,False
short,4,PaCl5,0.99314284324646,73.31786542923435,False
short,4,PbBr2,0.9752787351608276,31.554524361948953,False
short,4,PbCl2,0.9726669788360596,29.00232018561485,False
short,4,PbCl4,0.995090126991272,80.04640371229699,False
short,4,PbF2,0.9695922136306763,26.68213457076566,False
short,4,PbF4,0.9947906136512756,78.88631090487239,False
short,4,PbI2,0.9818141460418701,45.707656612529,False
short,4,PdBr2,0.9724529385566711,28.770301624129928,False
short,4,PdCl2,0.9757027626037598,31.786542923433874,False
short,4,PdF2,0.9820579290390015,46.17169373549884,False
short,4,PdF3,0.997165322303772,85.61484918793504,False
short,4,PdF4,0.9924260377883911,71.92575406032483,False
short,4,PdI2,0.9799410700798035,39.675174013921115,False
short,4,Pr2Br5,0.988389790058136,60.092807424593964,False
short,4,Pr2I5,0.9919736385345459,70.76566125290023,False
short,4,PrBr3,0.9808488488197327,41.9953596287703,False
short,4,PrCl3,0.9799504280090332,39.90719257540603,False
short,4,PrF3,0.9751881957054138,31.322505800464036,False
short,4,PrI2,0.9765221476554871,33.17865429234338,False
short,4,Pt3I8,0.9963358044624329,82.830626450116,False
short,4,PtBr3,0.9969727993011475,84.45475638051045,False
short,4,PtCl2,0.9751549363136292,31.09048723897912,False
short,4,PtCl3,0.9965830445289612,83.75870069605568,False
short,4,PtCl4,0.9810497760772705,42.69141531322506,False
short,4,PtF4,0.993853747844696,74.70997679814386,False
short,4,PtF5,0.9914824366569519,69.83758700696056,False
short,4,PtF6,0.9887250065803528,61.48491879350348,False
short,4,PtI2,0.978411853313446,35.96287703016242,False
short,4,PtI3,0.9949508309364319,79.58236658932715,False
short,4,PtI4,0.9937345385551453,74.24593967517401,False
short,4,PuBr3,0.9881948828697205,59.39675174013921,False
short,4,PuCl3,0.9796774983406067,38.2830626450116,False
short,4,PuF3,0.9766921997070312,33.874709976798144,False
short,4,PuI3,0.9885814189910889,60.78886310904872,False
short,4,RbBr,0.8047838807106018,5.336426914153132,False
short,4,RbCl,0.8047839403152466,8.120649651972158,False
short,4,RbF,0.7831857204437256,3.0162412993039442,False
short,4,RbI3,0.9811335206031799,42.92343387470998,False
short,4,RbI,0.8047839999198914,8.816705336426914,False
short,4,ReCl3,0.9939830899238586,75.63805104408353,False
short,4,ReCl4,0.9959397912025452,81.4385150812065,False
short,4,ReCl5,0.9992245435714722,95.82366589327145,False
short,4,ReCl6,0.9927157759666443,72.62180974477958,False
short,4,ReF7,0.98948073387146,63.57308584686775,False
short,4,ReI3,0.994701623916626,78.19025522041764,False
short,4,RhBr3,0.9995867013931274,98.37587006960557,False
short,4,RhCl3,0.9994152784347534,96.51972157772622,False
short,4,RhF3,0.9989801645278931,94.66357308584686,False
short,4,RhF5,0.9966634511947632,83.9907192575406,False
short,4,RuBr3,0.9977680444717407,87.93503480278422,False
short,4,RuCl3,0.999110758304596,95.59164733178655,False
short,4,RuF3,0.9983317852020264,90.71925754060325,False
short,4,RuF4,0.9918580055236816,70.53364269141531,False
short,4,RuF5,0.9977846741676331,88.16705336426914,False
short,4,Sc5Cl8,0.9774219989776611,34.33874709976798,False
short,4,Sc7Cl10,0.9832636713981628,49.187935034802784,False
short,4,Sc7Cl12,0.9643723368644714,21.34570765661253,False
short,4,ScCl3,0.9994481801986694,96.98375870069606,False
short,4,ScCl,0.80107182264328,3.7122969837587005,False
short,4,ScF3,0.9907525181770325,68.44547563805105,False
short,4,Sm11Br24,0.9843409657478333,51.04408352668214,False
short,4,Sm5Br11,0.982824444770813,48.027842227378194,False
short,4,Sm6Br13,0.9814809560775757,43.851508120649655,False
short,4,SmBr3,0.9884455800056458,60.32482598607889,False
short,4,SmCl2,0.9706504344940186,27.1461716937355,False
short,4,SmF3,0.976539671421051,33.4106728538283,False
short,4,SmI2,0.9737120270729065,29.466357308584683,False
short,4,Sn3F8,0.9907280206680298,68.21345707656613,False
short,4,SnBr2,0.9874202013015747,57.772621809744784,False
short,4,SnBr4,0.9922075867652893,70.99767981438515,False
short,4,SnCl2,0.9782260656356812,35.498839907192576,True
short,4,SnCl4,0.9901446104049683,65.89327146171694,False
short,4,SnF2,0.9689056277275085,25.986078886310903,False
short,4,SnF3,0.9737526178359985,29.698375870069604,False
short,4,SnF4,0.9943241477012634,76.5661252900232,False
short,4,SnI2,0.9777803421020508,34.80278422273782,False
short,4,SnI3,0.9951285719871521,80.2784222737819,False
short,4,SnI4,0.9940333962440491,75.87006960556845,False
short,4,SrBr2,0.9782069325447083,35.498839907192576,False
short,4,SrCl2,0.9661477208137512,24.361948955916475,False
short,4,SrF2,0.978492021560669,36.19489559164733,False
short,4,SrF3,0.9901836514472961,66.12529002320186,False
short,4,SrI2,0.9779488444328308,35.03480278422274,False
short,4,Ta2Br5,0.9910966157913208,68.90951276102089,False
short,4,Ta2Cl5,0.9898154735565186,65.19721577726219,False
short,4,Ta3Br7,0.9891858696937561,62.64501160092807,False
short,4,Ta3I7,0.9871347546577454,57.30858468677494,False
short,4,TaBr5,0.9994168281555176,96.75174013921114,False
short,4,TaCl3,0.9741681218147278,29.930394431554525,False
short,4,TaCl4,0.9946168065071106,77.9582366589327,False
short,4,TaCl5,1.0,100.0,True
short,4,TaF3,0.9897143840789795,64.50116009280742,False
short,4,TaF5,0.9982972145080566,90.48723897911833,False
short,4,TaI4,0.9961891770362854,82.36658932714617,False
short,4,TaI5,0.9974714517593384,86.3109048723898,False
short,4,Tb4F15,0.9929434657096863,72.8538283062645,False
short,4,Tb5Br8,0.9750474095344543,30.8584686774942,False
short,4,Tb6Br7,0.8771618604660034,14.153132250580047,False
short,4,TbBr,0.8140535950660706,10.672853828306264,False
short,4,TbCl3,0.9984901547431946,91.87935034802784,False
short,4,TbCl,0.8254883885383606,13.225058004640372,False
short,4,TbF3,0.9763870239257812,32.71461716937355,False
short,4,TcBr4,0.9974743127822876,86.5429234338747,False
short,4,TcCl3,0.9990023970603943,94.89559164733178,False
short,4,TcCl4,0.9982793927192688,90.25522041763341,False
short,4,Th2Br5,0.9897615313529968,64.96519721577727,False
short,4,ThBr4,0.9892957806587219,63.10904872389791,False
short,4,ThCl4,0.9890586733818054,62.18097447795824,False
short,4,ThF4,0.9881222248077393,58.70069605568445,False
short,4,ThI2,0.9653488397598267,22.041763341067284,False
short,4,ThI3,0.9926510453224182,72.38979118329466,False
short,4,ThI4,0.9904029965400696,67.05336426914154,False
short,4,Ti7Br16,0.9945890307426453,77.7262180974478,False
short,4,Ti7Cl16,0.9944540858268738,77.26218097447796,False
short,4,TiBr2,0.9848552346229553,51.508120649651964,False
short,4,TiBr3,0.9977431893348694,87.47099767981439,False
short,4,TiBr4,0.9814740419387817,43.619489559164734,False
short,4,TiCl2,0.9845154881477356,51.27610208816705,False
short,4,TiCl3,0.9991025328636169,95.35962877030161,False
short,4,TiCl4,0.9783246517181396,35.730858468677496,False
short,4,TiF2,0.9661477208137512,24.361948955916475,False
short,4,TiF3,0.9897446036338806,64.73317865429235,False
short,4,TiF4,0.9955126047134399,80.97447795823666,False
short,4,TiI3,0.9969891905784607,84.68677494199535,False
short,4,TiI4,0.9973087906837463,86.07888631090486,False
short,4,Tl2Br3,0.9440010786056519,17.633410672853827,False
short,4,Tl2Cl3,0.9404962062835693,16.937354988399072,False
short,4,TlBr2,0.968123197555542,25.754060324825982,False
short,4,TlBr3,0.9708384871482849,27.610208816705335,False
short,4,TlBr,0.810673177242279,9.976798143851507,False
short,4,TlCl2,0.9646587371826172,21.809744779582367,False
short,4,TlCl3,0.924087405204773,16.009280742459396,False
short,4,TlCl,0.8100370168685913,9.744779582366588,False
short,4,TlF3,0.985869824886322,53.596287703016245,False
short,4,TlF,0.7861459255218506,3.248259860788863,False
short,4,TlI3,0.9863036274909973,55.91647331786543,False
short,4,TlI,0.8090378642082214,9.51276102088167,False
short,4,Tm7Cl15,0.9834731221199036,49.419953596287705,False
short,4,TmCl2,0.9722074866294861,28.538283062645007,False
short,4,TmCl3,0.9977625608444214,87.70301624129931,False
short,4,TmI2,0.9808863401412964,42.22737819025522,False
short,4,U2F9,0.9839510917663574,50.34802784222738,False
short,4,UBr3,0.9818081855773926,45.243619489559165,False
short,4,UBr4,0.9953923225402832,80.74245939675174,False
short,4,UBr5,0.9938624501228333,74.94199535962876,False
short,4,UCl3,0.9807520508766174,41.76334106728538,False
short,4,UCl4,0.9916447997093201,70.06960556844548,False
short,4,UCl5,0.99708092212677,84.91879350348029,False
short,4,UCl6,0.992332398891449,71.46171693735499,False
short,4,UF3,0.9742125272750854,30.162412993039446,False
short,4,UF4,0.9890984296798706,62.41299303944315,False
short,4,UF5,0.9960773587226868,82.13457076566125,False
short,4,UF6,0.9873635172843933,57.540603248259856,False
short,4,UI3,0.9882824420928955,59.86078886310905,False
short,4,UI4,0.9922281503677368,71.22969837587007,False
short,4,VBr2,0.9857878088951111,52.90023201856149,False
short,4,VCl2,0.98634272813797,56.148491879350345,False
short,4,VCl3,0.9993717670440674,96.05568445475639,False
short,4,VCl4,0.9798233509063721,38.97911832946635,False
short,4,VCl5,0.9998750686645508,99.53596287703016,False
short,4,VF2,0.9821780323982239,46.8677494199536,False
short,4,VF3,0.9983476400375366,90.95127610208816,False
short,4,VF4,0.9971145391464233,85.1508120649652,False
short,4,VF5,0.9987280368804932,93.27146171693735,False
short,4,VI2,0.986164927482605,54.524361948955914,False
short,4,W15I47,0.9899072647094727,65.4292343387471,False
short,4,W2Br5,0.9905534982681274,67.51740139211137,False
short,4,W3Br7,0.9670692682266235,25.05800464037123,False
short,4,W3Br8,0.9806705713272095,41.29930394431555,False
short,4,W3I8,0.9949454069137573,79.35034802784223,False
short,4,W5I16,0.9895729422569275,63.80510440835266,False
short,4,WBr2,0.9706524610519409,27.37819025522042,False
short,4,WBr4,0.9947410225868225,78.42227378190255,False
short,4,WBr5,0.9997932314872742,98.83990719257541,False
short,4,WBr6,0.9925031065940857,72.15777262180974,False
short,4,WCl3,0.9951435327529907,80.51044083526682,False
short,4,WCl4,0.9947885870933533,78.65429234338747,False
short,4,WCl5,0.9998189806938171,99.07192575406032,False
short,4,WCl6,0.9965697526931763,83.52668213457076,False
short,4,WF6,0.995826005935669,81.20649651972158,False
short,4,WI3,0.9949277639389038,79.11832946635731,False
short,4,WI4,0.9950518012046814,79.81438515081206,False
short,4,Y2Cl3,0.941857099533081,17.40139211136891,False
short,4,YCl3,0.9998430013656616,99.30394431554525,False
short,4,YCl,0.8219939470291138,12.296983758700696,False
short,4,YF3,0.9785079956054688,36.42691415313225,False
short,4,YI3,0.9995282888412476,97.6798143851508,False
short,4,YI,0.8037909269332886,4.408352668213457,False
short,4,YbBr2,0.97891765832901,36.89095127610209,False
short,4,YbF3,0.97972571849823,38.74709976798144,False
