formula,median_mean_percentile,min_mean_percentile,median_nearest_percentile,min_nearest_percentile,settings
WCl3,82.55977496483825,79.74683544303798,75.31645569620252,65.9634317862166,6
WCl5,82.55977496483825,79.32489451476793,99.71870604781998,99.43741209563994,6
TmCl3,82.55977496483825,78.48101265822784,92.40506329113924,91.27988748241913,6
W5I16,81.50492264416314,75.24613220815752,62.51758087201125,28.973277074542896,6
VCl5,81.0126582278481,77.77777777777779,98.52320675105486,98.31223628691983,6
W15I47,80.66104078762307,74.54289732770746,62.23628691983122,28.270042194092827,6
IrF3,80.52039381153305,77.0745428973277,88.95921237693389,87.20112517580873,6
Ag2F5,80.52039381153305,73.69901547116737,71.37834036568213,67.79184247538677,6
Sn3F8,80.30942334739804,78.34036568213783,79.0436005625879,70.60478199718706,6
PbCl4,80.23909985935302,79.74683544303798,72.78481012658227,64.27566807313643,6
Cr2F5,80.16877637130801,72.9957805907173,78.90295358649789,71.58931082981715,6
BiF5,79.957805907173,74.54289732770746,65.9634317862166,64.55696202531645,6
Zr2Cl5,79.88748241912799,77.21518987341773,66.52601969057665,63.71308016877637,6
ReCl5,79.46554149085794,75.80872011251758,92.33473980309424,91.70182841068917,6
Tb4F15,79.39521800281294,75.10548523206751,76.16033755274262,74.54289732770746,6
UCl4,78.83263009845288,75.24613220815752,73.83966244725738,71.30801687763713,6
VF5,78.69198312236287,77.77777777777779,90.50632911392405,89.0295358649789,6
CsI4,78.69198312236287,63.150492264416314,51.265822784810126,24.47257383966245,6
CrF5,78.41068917018283,76.79324894514767,90.78762306610408,88.0450070323488,6
ThI4,77.84810126582278,73.9803094233474,70.74542897327707,69.90154711673699,6
ScF3,77.84810126582278,73.27707454289732,64.1350210970464,41.91279887482419,6
ZrF4,77.77777777777777,74.40225035161744,71.30801687763713,70.042194092827,6
ThI3,77.49648382559775,71.0267229254571,83.75527426160338,82.70042194092827,6
BaF3,77.14486638537272,74.40225035161744,82.20815752461321,70.042194092827,6
PaBr4,77.0042194092827,74.68354430379746,73.55836849507736,71.0267229254571,6
TiF3,76.65260196905767,70.74542897327707,55.55555555555556,38.95921237693389,6
RbI3,76.51195499296765,72.0112517580872,64.69760900140648,33.33333333333333,6
W2Br5,76.44163150492264,74.26160337552743,63.29113924050633,29.957805907172997,6
TlI3,76.44163150492264,73.55836849507736,71.58931082981715,47.39803094233474,6
NbF3,76.44163150492264,70.46413502109705,54.9929676511955,38.81856540084388,6
TaF3,76.44163150492264,70.46413502109705,54.9929676511955,38.81856540084388,6
PaCl4,76.37130801687763,74.26160337552743,73.27707454289734,70.88607594936708,6
UF4,76.09001406469761,73.69901547116737,69.69057665260198,68.21378340365682,6
Ta2Cl5,75.52742616033755,74.1209563994374,59.985935302391,39.24050632911392,6
IrF6,75.52742616033755,66.1040787623066,83.12236286919831,80.028129395218,6
OsF6,75.52742616033755,65.9634317862166,83.40365682137833,80.45007032348805,6
WF6,75.38677918424754,66.66666666666666,85.0914205344585,81.15330520393812,6
ThBr4,75.31645569620252,73.13642756680731,73.41772151898735,70.46413502109705,6
WCl6,75.31645569620252,67.65119549929676,85.65400843881858,81.29395218002813,6
MoF6,75.31645569620252,67.51054852320675,86.42756680731364,81.71589310829818,6
ThCl4,75.17580872011251,72.85513361462729,73.06610407876231,70.32348804500702,6
ReCl6,75.17580872011251,65.68213783403657,80.80168776371309,76.79324894514767,6
WBr6,75.10548523206751,65.54149085794656,79.957805907173,76.37130801687763,6
CsI3,75.10548523206751,64.83825597749649,49.50773558368495,24.894514767932492,6
UCl6,74.9648382559775,65.40084388185655,80.09845288326301,76.09001406469761,6
HfF4,74.68354430379748,72.57383966244726,69.971870604782,67.65119549929676,6
SrF3,74.68354430379748,70.60478199718706,84.52883263009845,72.57383966244726,6
DyCl3,74.61322081575247,69.47960618846695,87.13080168776372,85.93530239099859,6
PtF6,74.54289732770745,63.85372714486639,72.29254571026723,68.77637130801688,6
PuI3,74.26160337552741,68.77637130801688,88.11533052039381,85.79465541490859,6
W3Br8,74.12095639943742,63.85372714486639,36.56821378340366,24.613220815752463,6
NpI3,74.1209563994374,68.63572433192687,87.76371308016877,85.65400843881856,6
SnI4,73.69901547116737,68.77637130801688,65.54149085794656,62.869198312236286,6
Ti7Cl16,73.62869198312237,63.43178621659634,69.33895921237693,63.150492264416314,6
CeF4,73.48804500703235,71.72995780590718,69.26863572433193,67.08860759493672,6
Ta2Br5,73.41772151898735,71.16736990154712,64.34599156118144,35.58368495077356,6
NpF4,73.27707454289734,71.58931082981715,69.40928270042194,66.80731364275668,6
SmBr3,73.20675105485232,68.35443037974683,86.70886075949367,84.9507735583685,6
ThF4,72.9957805907173,71.16736990154712,69.0576652601969,66.66666666666666,6
UI3,72.92545710267228,68.21378340365682,87.34177215189874,85.23206751054853,6
KF5,72.92545710267228,43.319268635724335,50.91420534458509,23.628691983122362,6
NpBr3,72.71448663853727,67.79184247538677,85.9353023909986,84.52883263009845,6
Ti7Br16,72.71448663853727,63.150492264416314,70.74542897327709,63.29113924050633,6
PuBr3,72.36286919831224,67.65119549929676,86.07594936708861,84.66947960618847,6
LaI3,71.87060478199719,67.36990154711674,86.35724331926863,84.38818565400844,6
Nb2F5,71.80028129395217,68.49507735583686,78.69198312236287,73.13642756680731,6
UF6,71.51898734177215,62.58790436005626,64.27566807313643,53.30520393811533,6
NdBr3,71.37834036568213,66.66666666666666,85.0210970464135,83.54430379746836,6
Th2Br5,70.9563994374121,68.35443037974683,78.19971870604783,72.57383966244726,6
SnBr4,70.8860759493671,63.57243319268636,62.65822784810126,47.81997187060478,6
KF3,70.60478199718706,30.801687763713083,24.542897327707458,21.237693389592124,6
Ta3Br7,69.54992967651197,55.69620253164557,54.71167369901548,32.91139240506329,6
Nb3Cl7,69.33895921237693,66.9479606188467,65.61181434599156,57.102672292545705,6
U2F9,68.70604781997187,67.08860759493672,64.0646976090014,62.16596343178622,6
TlF3,68.49507735583684,63.29113924050633,83.19268635724333,80.59071729957806,6
ReF7,68.28410689170184,61.60337552742617,66.94796061884668,54.289732770745424,6
GdCl3,67.93248945147678,46.554149085794656,80.45007032348803,77.63713080168776,6
Ta3I7,67.36990154711674,37.9746835443038,49.15611814345992,26.300984528832632,6
SnCl4,67.22925457102673,62.30661040787623,61.32208157524613,39.80309423347398,6
CeBr3,66.52601969057665,45.14767932489451,80.23909985935302,77.49648382559775,6
Pr2I5,66.45569620253164,65.26019690576652,78.12939521800283,68.77637130801688,6
UBr3,66.1040787623066,45.0070323488045,79.81715893108299,76.93389592123769,6
La2I5,65.47116736990154,63.9943741209564,77.28551336146273,68.07313642756681,6
CrBr2,65.11954992967651,58.93108298171589,30.37974683544304,28.129395218002813,6
PrBr3,64.48663853727146,44.44444444444444,79.39521800281294,76.65260196905767,6
Cd13I28,64.27566807313643,60.900140646976084,63.85372714486638,59.634317862165965,6
EuCl3,64.0646976090014,44.303797468354425,78.62165963431787,75.24613220815752,6
UCl3,63.78340365682138,44.0225035161744,78.76230661040788,75.52742616033755,6
LaBr3,63.43178621659634,42.75668073136428,78.97327707454289,75.80872011251758,6
NdCl3,63.29113924050633,42.616033755274266,78.48101265822785,74.9648382559775,6
Ce2Br5,63.22081575246132,53.30520393811533,76.51195499296765,66.9479606188467,6
