formula,local_median_pct,local_min_pct,local_max_pct,local_mean_pct,local_top20_count,local_top10_count,n_configs,reserved_formula,median_mean_percentile,min_mean_percentile,median_nearest_percentile,min_nearest_percentile,settings,topology_max_frac_exact6,topology_any_fallback
LaI,6.148491879350348,1.160092807424594,9.51276102088167,5.645784996133024,0,0,6,False,4.781997187060478,4.360056258790436,8.08720112517581,6.188466947960619,6.0,1.0,True
NaCl,6.0324825986078885,5.336426914153132,8.816705336426914,6.419180201082753,0,0,6,False,8.08720112517581,5.766526019690577,11.11111111111111,10.68917018284107,6.0,1.0,True
RbBr,6.0324825986078885,3.480278422273782,8.816705336426914,6.187161639597835,0,0,6,False,8.579465541490858,6.469760900140647,10.829817158931084,9.423347398030945,6.0,1.0,True
NaF,6.0324825986078885,3.248259860788863,7.192575406032482,5.684454756380511,0,0,6,False,9.49367088607595,7.735583684950773,12.447257383966246,10.267229254571026,6.0,1.0,True
KCl,5.684454756380511,3.480278422273782,6.960556844547564,5.452436194895591,0,0,6,False,8.08720112517581,7.172995780590717,11.814345991561185,10.548523206751057,6.0,1.0,True
AgBr,5.68445475638051,3.248259860788863,8.816705336426914,5.877803557617942,0,0,6,False,7.735583684950773,5.907172995780591,9.915611814345992,7.454289732770746,6.0,1.0,True
LiF,5.68445475638051,3.248259860788863,8.816705336426914,5.877803557617942,0,0,6,False,7.805907172995781,5.766526019690577,10.68917018284107,7.454289732770746,6.0,1.0,True
HgF,5.220417633410673,2.784222737819025,10.672853828306264,6.148491879350348,0,0,6,False,2.109704641350211,0.8438818565400843,2.180028129395218,1.4064697609001406,6.0,0.0,False
NaBr,5.104408352668213,3.248259860788863,8.816705336426914,5.375096674400619,0,0,6,False,6.39943741209564,5.907172995780591,9.985935302391,9.70464135021097,6.0,1.0,True
CsCl,4.988399071925754,3.480278422273782,8.816705336426914,5.297757153905645,0,0,6,False,8.790436005625878,8.438818565400844,12.165963431786215,10.126582278481012,6.0,1.0,True
KBr,4.988399071925754,3.480278422273782,8.816705336426914,5.297757153905645,0,0,6,False,8.790436005625878,8.438818565400844,12.165963431786215,10.126582278481012,6.0,1.0,True
TlF,4.988399071925754,1.8561484918793503,8.816705336426914,5.104408352668213,0,0,6,False,5.977496483825597,1.8284106891701828,5.836849507735584,1.8284106891701828,6.0,0.0,False
AgF,4.524361948955916,3.248259860788863,5.336426914153132,4.331013147718484,0,0,6,False,7.032348804500703,5.907172995780591,10.056258790436004,9.70464135021097,6.0,1.0,True
LiCl,3.9443155452436196,2.5522041763341066,7.424593967517401,4.331013147718484,0,0,6,False,6.680731364275668,4.781997187060478,10.267229254571026,7.032348804500703,6.0,1.0,True
RbF,3.248259860788863,0.9280742459396751,6.0324825986078885,3.2095901005413765,0,0,6,False,4.360056258790436,3.938115330520394,7.665260196905766,5.485232067510549,6.0,1.0,True
ZrBr,2.9002320185614847,1.6241299303944314,13.68909512761021,5.413766434648106,0,0,6,False,6.751054852320675,1.4064697609001406,5.485232067510548,1.969057665260197,6.0,1.0,True
ZrCl,2.784222737819025,2.320185614849188,13.225058004640372,5.1430781129157,0,0,6,False,7.524613220815752,1.6877637130801686,5.063291139240507,2.109704641350211,6.0,1.0,True
YI,2.2041763341067284,1.8561484918793503,13.45707656612529,5.1430781129157,0,0,6,False,3.586497890295359,1.1251758087201125,3.727144866385373,1.6877637130801686,6.0,1.0,True
TbBr,2.088167053364269,1.3921113689095126,12.993039443155451,4.447022428460943,0,0,6,False,5.344585091420534,1.969057665260197,4.922644163150492,2.5316455696202533,6.0,1.0,True
GdBr,2.088167053364269,0.9280742459396751,12.064965197215777,4.176334106728538,0,0,6,False,4.852320675105485,2.250351617440225,4.711673699015471,4.219409282700422,6.0,1.0,True
